index,prediction,predicted_side,actual,correct,confidence,reliability,publish,entry,future
0,SHORT,SHORT,LONG,False,54.67,74.64,True,64697.7,64716.1
1,LONG,LONG,SHORT,False,40.74,71.07,True,64779.8,64737.5
2,LONG,LONG,SHORT,False,48.29,71.07,True,64876.4,64700.1
3,LONG,LONG,SHORT,False,53.62,74.64,True,64845.9,64621.3
4,LONG,LONG,SHORT,False,54.73,74.64,True,64823.1,64507.2
5,LONG,LONG,SHORT,False,55.46,74.64,True,64839.4,64511.3
6,LONG,LONG,SHORT,False,49.05,73.45,True,64775.1,64421.4
7,LONG,LONG,SHORT,False,65.09,74.64,True,64710.9,64385.1
8,LONG,LONG,SHORT,False,39.21,71.07,True,64674.3,64217.0
9,LONG,LONG,SHORT,False,32.72,69.28,True,64646.7,64342.1
10,LONG,LONG,SHORT,False,34.81,69.28,True,64687.6,64168.9
11,LONG,LONG,SHORT,False,38.88,69.28,True,64733.6,64160.0
12,LONG,LONG,SHORT,False,38.36,69.28,True,64716.1,64145.7
13,LONG,LONG,SHORT,False,42.87,71.07,True,64737.5,64171.5
14,LONG,LONG,SHORT,False,40.49,71.07,True,64700.1,64178.9
15,SHORT,SHORT,SHORT,True,53.42,73.53,True,64621.3,64149.9
16,SHORT,SHORT,SHORT,True,54.88,73.53,True,64507.2,64085.7
17,SHORT,SHORT,SHORT,True,51.73,72.34,True,64511.3,64101.7
18,SHORT,SHORT,SHORT,True,51.96,72.34,True,64421.4,64119.9
19,SHORT,SHORT,SHORT,True,55.96,73.53,True,64385.1,64122.8
20,SHORT,SHORT,SHORT,True,56.79,73.53,True,64217.0,64170.0
21,SHORT,SHORT,SHORT,True,55.8,73.53,True,64342.1,64162.6
22,SHORT,SHORT,SHORT,True,61.01,73.53,True,64168.9,64075.4
23,SHORT,SHORT,SHORT,True,60.74,73.53,True,64160.0,64107.2
24,SHORT,SHORT,SHORT,True,66.57,74.64,True,64145.7,63979.9
25,SHORT,SHORT,SHORT,True,64.94,74.64,True,64171.5,63919.5
26,SHORT,SHORT,SHORT,True,61.79,74.64,True,64178.9,63793.7
27,SHORT,SHORT,SHORT,True,62.5,74.64,True,64149.9,63847.8
28,SHORT,SHORT,SHORT,True,64.4,74.64,True,64085.7,63890.6
29,SHORT,SHORT,SHORT,True,64.13,74.64,True,64101.7,63890.0
30,SHORT,SHORT,SHORT,True,64.51,74.64,True,64119.9,63960.0
31,SHORT,SHORT,SHORT,True,64.31,74.64,True,64122.8,63959.8
32,SHORT,SHORT,SHORT,True,61.31,74.64,True,64170.0,63941.5
33,SHORT,SHORT,SHORT,True,58.94,74.64,True,64162.6,63936.3
34,SHORT,SHORT,SHORT,True,61.2,74.64,True,64075.4,64057.3
35,SHORT,SHORT,SHORT,True,60.89,74.64,True,64107.2,64101.6
36,SHORT,SHORT,LONG,False,60.37,74.64,True,63979.9,64162.4
37,SHORT,SHORT,LONG,False,58.56,74.64,True,63919.5,64088.2
38,SHORT,SHORT,LONG,False,61.55,74.64,True,63793.7,64188.0
39,SHORT,SHORT,LONG,False,57.68,74.64,True,63847.8,64191.0
40,SHORT,SHORT,LONG,False,54.39,73.45,True,63890.6,64245.9
41,SHORT,SHORT,LONG,False,53.37,73.45,True,63890.0,64250.0
42,SHORT,SHORT,LONG,False,48.93,73.45,True,63960.0,64274.0
43,SHORT,SHORT,LONG,False,44.91,71.07,True,63959.8,64228.8
44,SHORT,SHORT,LONG,False,45.89,71.07,True,63941.5,64271.7
45,SHORT,SHORT,LONG,False,46.17,71.07,True,63936.3,64275.0
46,SHORT,SHORT,LONG,False,37.45,71.07,True,64057.3,64220.2
47,SHORT,SHORT,LONG,False,52.19,71.07,True,64101.6,64210.3
48,LONG,LONG,LONG,True,39.85,71.07,True,64162.4,64168.6
49,LONG,LONG,SHORT,False,59.45,74.64,True,64088.2,63949.8
50,LONG,LONG,SHORT,False,39.01,71.07,True,64188.0,63895.9
51,LONG,LONG,SHORT,False,37.5,71.07,True,64191.0,64031.6
52,LONG,LONG,SHORT,False,38.16,71.07,True,64245.9,63988.0
53,LONG,LONG,SHORT,False,40.37,71.07,True,64250.0,64031.4
54,LONG,LONG,SHORT,False,41.43,71.07,True,64274.0,64006.0
55,LONG,LONG,SHORT,False,38.04,71.07,True,64228.8,64007.6
56,LONG,LONG,SHORT,False,37.63,71.07,True,64271.7,64077.6
57,LONG,LONG,SHORT,False,38.52,71.07,True,64275.0,64066.6
58,LONG,LONG,SHORT,False,34.73,71.07,True,64220.2,64137.8
59,SHORT,SHORT,SHORT,True,34.91,69.28,True,64210.3,64174.5
60,SHORT,SHORT,LONG,False,41.73,71.07,True,64168.6,64216.7
61,SHORT,SHORT,LONG,False,57.48,74.64,True,63949.8,64197.1
62,SHORT,SHORT,LONG,False,60.0,74.64,True,63895.9,64210.5
63,SHORT,SHORT,LONG,False,77.26,78.21,True,64031.6,64217.0
64,SHORT,SHORT,LONG,False,77.1,78.21,True,63988.0,64213.9
65,SHORT,SHORT,LONG,False,52.11,74.64,True,64031.4,64176.6
66,SHORT,SHORT,LONG,False,53.57,74.64,True,64006.0,64200.0
67,SHORT,SHORT,LONG,False,53.86,74.64,True,64007.6,64201.1
68,SHORT,SHORT,LONG,False,43.7,71.07,True,64077.6,64258.5
69,SHORT,SHORT,LONG,False,42.66,71.07,True,64066.6,64242.7
70,SHORT,SHORT,LONG,False,39.36,71.07,True,64137.8,64377.1
71,LONG,LONG,LONG,True,55.74,74.64,True,64174.5,64329.2
72,LONG,LONG,LONG,True,57.68,74.64,True,64216.7,64260.5
73,LONG,LONG,LONG,True,56.62,74.64,True,64197.1,64256.4
74,LONG,LONG,LONG,True,59.15,74.64,True,64210.5,64304.9
75,LONG,LONG,LONG,True,59.19,74.64,True,64217.0,64316.4
76,LONG,LONG,LONG,True,59.46,74.64,True,64213.9,64327.3
77,LONG,LONG,LONG,True,57.91,74.64,True,64176.6,64280.5
78,LONG,LONG,LONG,True,57.85,74.64,True,64200.0,64305.3
79,LONG,LONG,LONG,True,35.76,71.07,True,64201.1,64409.1
80,LONG,LONG,LONG,True,40.18,71.07,True,64258.5,64360.0
81,LONG,LONG,LONG,True,39.3,71.07,True,64242.7,64320.4
82,LONG,LONG,SHORT,False,56.55,73.53,True,64377.1,64294.8
83,LONG,LONG,SHORT,False,54.52,73.53,True,64329.2,64322.6
84,LONG,LONG,LONG,True,48.71,73.53,True,64260.5,64788.0
85,LONG,LONG,LONG,True,47.63,73.53,True,64256.4,64850.9
86,LONG,LONG,LONG,True,52.38,73.53,True,64304.9,64807.1
87,LONG,LONG,LONG,True,54.51,73.53,True,64316.4,64925.7
88,LONG,LONG,LONG,True,54.69,73.53,True,64327.3,64935.0
89,LONG,LONG,LONG,True,49.1,73.53,True,64280.5,64970.8
